,SriLanka_creole,phonetic_transcription,Portuguese_definition,Portuguese_IPA,English_definition,pos,Related_languages,pt_related annotations,sources,original_full_entry,original_Portuguese_definition,original_linguistic_notes,page
438,Chéo,t̠ʃeːo,cheio,ˈʃɐj.u,full,adjective,Macao creole,,,"Chéo, cheio. Dial. mac. Cfr. féo, viéo.",cheio,,143.0
439,Chéro,t̠ʃeːɾo,cheiro,ˈʃɐj.ɾu,odour,noun,,,,"Chéro, chiero, chiesto, cbisto, cheiro. Chisto, cheiroso, odoroso.",cheiro,,143.0
440,chiero,t̠ʃieɾo,cheiro,ˈʃɐj.ɾu,odour,noun,,,,"Chéro, chiero, chiesto, cbisto, cheiro. Chisto, cheiroso, odoroso.",cheiro,,143.0
441,chiesto,t̠ʃiesto,cheiro,ˈʃɐj.ɾu,odour,noun,,,,"Chéro, chiero, chiesto, cbisto, cheiro. Chisto, cheiroso, odoroso.",cheiro,,143.0
442,chisto,t̠ʃisto,cheiro,ˈʃɐj.ɾu,odour,noun,,,,"Chéro, chiero, chiesto, cbisto, cheiro. Chisto, cheiroso, odoroso.",cheiro,,143.0
443,Chisto,t̠ʃisto,"cheiroso, odoroso",,"fragrant, odorous",adjective,,,,,"cheiroso, odoroso",,
444,Chiado,t̠ʃiado,"astuto, ladino, malicioso",,"cunning, rogue, malicious",noun,"Konkani, Marathi",,,"Chiado, astuto, ladino, malicioso. Cheadice, chediça, chidiça, chidice, astúcia, tre-dice. Chedice-litigua, lingua fraudulenta. — Konk. -ctllA (chyâd)mar. ""^^U {chhadmí)sansk. fe |&lt;|H {chhadmin).","astuto, ladino, malicioso",,143.0
445,Cheadice,t̠ʃeadise,"astúcia, tredice",,cunning,noun,,,,,"astúcia, tredice",,
446,chediça,t̠ʃedisa,"astúcia, tredice",,cunning,noun,,,,,"astúcia, tredice",,
447,chidiça,t̠ʃidisa,"astúcia, tredice",,cunning,noun,,,,,"astúcia, tredice",,
448,chidice,t̠ʃidise,"astúcia, tredice",,cunning,noun,,,,,"astúcia, tredice",,
449,Chedice-lingua,t̠ʃedise lingua,língua fraudulenta,,fraudulent language,noun,,,,,lingua fraudulenta,,
450,China-patàz,t̠ʃina pataːs,foguete de ar,,air rocket,noun,Malay,,,"China-patàz, foguete de ar. — De China e ■,r'~. {patas)malaio.",foguete de ar,,143.0
451,Chinglà,t̠ʃinglaː,cingalês,,Singhalese,noun,,,,"Chinglà, Sinhala. — Sansk. U1«çr&lt;i {simhala).",Sinhala,,143.0
452,Chipi,t̠ʃipi,concha,,shell,noun,"Konkani, Marathi",,,"Chipi, concha. Dicc. Con-temp. diz: «Chipo, ostra que dá o aljôfar». —Tam. e mall. ^LJl51 {chippi), konk. e mar. fwft {simpt).",concha,,143.0
453,Chita,t̠ʃita,fazenda de algodão estampada a cores,,color printed cotton cloth,noun,"Konkani, Marathi, Sinhala, Hindi",,Istori de San Clear,"Chita, fazenda de algodão estampada a côres. Còmm. T. em indo-English  (chintif). Do hind. s^&gt;;..^ ^ chhint. — Em",fazenda de algodão estampada a cores,,144.0
454,Chocarréa,t̠ʃokareːa,chocarrice,ʃu.kɐ.ˈRi.sɨ,jest,noun,,,,"Ohocarréa,choqueria, choca rrice.",chocarrice,,144.0
455,choqueria,t̠ʃokeɾia,chocarrice,ʃu.kɐ.ˈRi.sɨ,jest,noun,,,,"Ohocarréa,choqueria, choca rrice.",chocarrice,,144.0
456,Chomà,t̠ʃomaː,chamar,ʃɐ.ˈmaɾ,call,verb,"Capeverdean creole, Marathi",Dialectal Portuguese,,"Chomà, chamar. Dial. mac, cab. Chóma, chamamento; vocação.— Port. Dialetal Portuguese. chomar ou chiimar.",chamar,,144.0
457,Chóma,t̠ʃoːma,chamamento,ʃɐ.mɐ.ˈmẽ.tu,calling,noun,,,,,chamamento,,
458,Chorrà,t̠ʃoraː,chorar,,cry,verb,,,"O Bruffador, i periódico","Cliorrà [Br. i), churá, chorar. Cfr. virrá.",chorar,,144.0
459,churá,t̠ʃuɾaː,chorar,,cry,verb,,,"O Bruffador, i periódico","Cliorrà [Br. i), churá, chorar. Cfr. virrá.",chorar,,144.0
460,Chóve,t̠ʃoːʋe,chuva,,rain,noun,,,"O Bruffador, ii periódico","Chove {Br. 2), chuva.",chuva,,144.0
461,Cristendade,kɾistendade,Cristandade,,christianity,noun,,,,"Christendade, christan-dade.",Cristandade,,144.0
462,Cristmas,kɾistmas,Natal,,Christmas,noun,English,,,"Christmas, Natal (t. us.).— Ingl.",Natal,,144.0
463,Chuchadas,t̠ʃut̠ʃadas,golpes,,blows,noun,,,"O Bruffador, i periódico, Novo testamento","Chuchadas {Br. i), golpes (fig.). Chuchado, ralado, remordido. «Tinha chuchado» {compiincti sunt. Act. Sy. 11, Dissecabantur. v, 33). N. T. de i852.",golpes,,144.0
464,Chuchado,t̠ʃut̠ʃado,"ralado, remordido",,grated,adjective,,,,,"ralado, remordido",,
465,Chulo,t̠ʃulo,"archote, facho",,"torch, beam",noun,Sinhala,Old Portuguese,,"Chulo, archote, facho. — Singl. MrrTu^tq {chilokhuva).","archote, facho",,144.0
466,Chumà,t̠ʃumaː,"sem motivo, sem propósito",,"no reason, no purpose",adverb,"Mangalor creole, Tamil",,,"Chumà, sem motivo, sem propósito. Dial. mang.—Tam. di-LLlh^ {chutmnâ).","sem motivo, sem propósito",,144.0
467,Chumaço,t̠ʃumaso,"travesseiro, almofada",,"pillow, cushion",noun,,"Old Portuguese, All Portuguese-based creoles of India",,"Chumaço, travesseiro,almofada. Comm. — Port. arch.","travesseiro, almofada",,144.0
468,Chunambo,t̠ʃunambo,cal,,lime,noun,"Tamil, Malay",,,"Chunambo, caX.Chuname em Gôa e outras partes. T. em indo-English {chunavi). —Tammall. drOPSfi^^LLi !_/  {chwviârhbu) ;",cal,,144.0
469,Chusmo,t̠ʃuzmo,"chusma, séquito, comitiva",,"mob, retinue, entourage",noun,,,,"Chusmo, chusma; séquito, comitiva.","chusma, séquito, comitiva",,144.0
470,Cinquo,sinkuo,cinco,ˈsĩ.ku,five,numeral,,Old Portuguese,,"Cinquo, cinquè, cinco (mais us.). Cinquento, cincoenta (t. us.). Cinquo: port. arch.",cinco,,144.0
471,cinquè,sinkeː,cinco,ˈsĩ.ku,five,numeral,,Old Portuguese,,"Cinquo, cinquè, cinco (mais us.). Cinquento, cincoenta (t. us.). Cinquo: port. arch.",cinco,,144.0
472,Cinquento,sinkento,cinquenta,,fifty,numeral,,,,,cinquenta,,
473,Cintura,sintuɾa,"cintura, cinto, cinturão",,"waist, belt",noun,,,,"Cintura, cintura; cinto, cinturão. Cintura, cingir.","cintura, cinto, cinturão",,144.0
474,Cinturà,sintuɾaː,cingir,,belt,verb,,,,,cingir,,
475,Circumcisá,siɾkumsizaː,circuncidar,,circumcise,verb,English,,,"Circumcisá, circumciá, cir-cumcidar. Circumcido, circum-cidado. De circumcisão ou do ingl. to circumcise.",circumcidar,,144.0
476,circumciá,siɾkumsiaː,circuncidar,,circumcise,verb,English,,,"Circumcisá, circumciá, cir-cumcidar. Circumcido, circum-cidado. De circumcisão ou do ingl. to circumcise.",circumcidar,,144.0
477,Circumcido,siɾkumsido,circuncidado,,circumcised,adjective,,,,,circumcidado,,
478,Cizo,sizo,"siso, prudência, aviso, conselho, assisado, sábio, prudente",,"wisdom, prudence, warning, advice, assisted, wise, prudent",noun,,,,"Cijo, siso; prudência; aviso, conselho; assisado, sábio, prudente. Cizomente, sensatamente, prudentemente.","siso, prudência, aviso, conselho, assisado, sábio, prudente",,144.0
479,Cizomente,sizomente,"sensatamente, prudentemente",,"sensibly, prudently",adverb,,,,,"sensatamente, prudentemente",,
480,Clar,klaɾ,claro,ˈkla.ɾu,clear,adjective,,,,"Ciar, claro. Clarmente, claramente. Cfr. desempar.",claro,,144.0
481,Clarmente,klaɾmente,claramente,kla.ɾɐ.ˈmẽ.tɨ,clearly,adverb,,,,,claramente,,
482,Cóber,koːbeɾ,cobra,,snake,noun,,,,"Cóber (fórm. mod.), cobra.",cobra,,144.0
483,Cobiço,kobiso,cobiça,,greed,noun,,,,"Cobiço, cobiça.",cobiça,,144.0
484,Kófi,koːfi,café,,coffee,noun,English,,,"Coffee (pron. kófi), café.— Ingl.",café,,144.0
485,Coidá,kojdaː,cuidar,kuj.ˈdaɾ,care,verb,,,,"Coidá, cuidar (mais us.). Coidado, cuidado.",cuidar,,144.0
486,Coidado,kojdado,cuidado,kuj.ˈda.du,caution,noun,,,,,cuidado,,
487,Çoità,sojtaː,açoitar,ɐ.soj.ˈtaɾ,flog,verb,,,,"Çoità, açoitar.",açoitar,,144.0
488,Coitado,kojtado,"pobre, mendigo",,poor beggar,adjective,,All Portuguese-based creoles of India,,"Coitado, pobre, mendigo. Comm.","pobre, mendigo",,144.0
489,Colleição,koleisaːo,coleção,ku.lɛ.ˈsɐ̃w̃,collection,noun,,Old Portuguese,,"Colleiçâo, collecção. — Port. arch.",collecção,,144.0
490,Color,koloɾ,cor,,colour,noun,English,Old Portuguese,,"Color, clor, côr (t. us.). — Color: port. arch. Talvez infl. do ingl.",cor,,144.0
491,clor,kloɾ,cor,,colour,noun,English,Old Portuguese,,"Color, clor, côr (t. us.). — Color: port. arch. Talvez infl. do ingl.",cor,,144.0
492,Columno,kolumno,coluna,ku.ˈlu.nɐ,pillar,noun,,,,"Columno, columna.",columna,,144.0
493,Cóma,koːma,como,ˈko.mu,as,conjunction,Cochin creole,Old Portuguese,,"Coma (p. us.), come (p. us.), como. Coma: dial. coch.— Port. arch.",como,pouco usado,144.0
494,comè,komeː,como,ˈko.mu,as,conjunction,Cochin creole,Old Portuguese,,"Coma (p. us.), come (p. us.), como. Coma: dial. coch.— Port. arch.",como,pouco usado,144.0
495,Combersan,kombeɾsan,conversão,kõ.vɨɾ.ˈsɐ̃w̃,conversion,noun,,,,Combersan (fórm. mod.). V. CONVERSÃO.,conversão,forma moderna,144.0
496,Começa,komesa,começo,,beginning,noun,,,,"Começa, começo.",começo,,144.0
497,Comedi,komedi,comédia,ku.ˈmɛ.djɐ,comedy,noun,,,,"Comedi, comédè, comedia. Cfr. istôri, mimôri.",comédia,,144.0
498,comédè,komeːdeː,comédia,ku.ˈmɛ.djɐ,comedy,noun,,,,"Comedi, comédè, comedia. Cfr. istôri, mimôri.",comédia,,144.0
499,Comera,komeɾa,comida,ku.ˈmi.dɐ,food,noun,,,"O Bruffador, ii periódico","Comera, comêrè, comero {Br. 2), comeira, comeria, comida. Cfr. podêra; lugária.",comida,,144.0
500,comêrè,komeːɾeː,comida,ku.ˈmi.dɐ,food,noun,,,"O Bruffador, ii periódico","Comera, comêrè, comero {Br. 2), comeira, comeria, comida. Cfr. podêra; lugária.",comida,,144.0
501,comero,komeɾo,comida,ku.ˈmi.dɐ,food,noun,,,"O Bruffador, ii periódico","Comera, comêrè, comero {Br. 2), comeira, comeria, comida. Cfr. podêra; lugária.",comida,,144.0
502,comeira,komeiɾa,comida,ku.ˈmi.dɐ,food,noun,,,"O Bruffador, ii periódico","Comera, comêrè, comero {Br. 2), comeira, comeria, comida. Cfr. podêra; lugária.",comida,,144.0
503,coméria,komeːɾia,comida,ku.ˈmi.dɐ,food,noun,,,"O Bruffador, ii periódico","Comera, comêrè, comero {Br. 2), comeira, comeria, comida. Cfr. podêra; lugária.",comida,,144.0
504,Comers,komeɾs,comeres,,foods,noun,,,,"Comers, comeres. Us. só no pi. Cír. fali ar s.",comeres,,145.0
505,Comfortable,komfoɾtable,confortativo,,comfortable,adjective,English,,,"Comfortable, confortati-vo. — Ingl.",confortativo,,145.0
506,Comidá,komidaː,convidar,kõ.vi.ˈdaɾ,invite,verb,,,,"Comida, convidar. Comida-ção, convite.",convidar,,145.0
507,Comidação,komidasaːo,convite,kõ.ˈvi.tɨ,invitation,noun,,,,,convite,,
508,Commettá,kometːaː,cometer,ku.mɨ.ˈteɾ,commit,verb,,,,"Commettá, comité (Gomes), commetter. Cfr. perverta.",commetter,,145.0
509,Comménda,komeːnda,"ordem, mandado",,"order, warrant",noun,English,,,"Comménda, ordem, mandado.— Ingl. commani.","ordem, mandado",,145.0
510,Comminhão,komiɲaːo,comunhão,ku.mu.ˈɲɐ̃w̃,communion,noun,,,,"Comminhão, communião p. us.), communhão.",communnião,pouco usado,145.0
511,Communigá,komunigaː,comungar,,communicate,verb,English,,,"Communigá (Gomes), com-mungar. — Intl. do ingl. to com-municate.",commungar,,145.0
512,Companha,kompaɲa,"companhia, multidão, turba",,"company, crowd, mob",noun,Macao creole,Old Portuguese,,"Companha, compinha (menos us.), companhia; multidão, turba. Companha, compinha, acompanhar. Companhamen-to, companhimento, compi-nhamento, acompanhamento. Compinhador, acompanha-dor. — Companha: dial. mac.; port. archmarítimo e dialectal.","companhia; multidão, turba",,145.0
513,compinha,kompiɲa,"companhia, multidão, turba",,"company, crowd, mob",noun,Macao creole,Old Portuguese,,"Companha, compinha (menos us.), companhia; multidão, turba. Companha, compinha, acompanhar. Companhamen-to, companhimento, compi-nhamento, acompanhamento. Compinhador, acompanha-dor. — Companha: dial. mac.; port. archmarítimo e dialectal.","companhia; multidão, turba",,145.0
514,Companhà,kompaɲaː,acompanhar,,accompany,verb,,,,,acompanhar,,
515,compinhà,kompiɲaː,acompanhar,,accompany,verb,,,,,acompanhar,,
516,Companhamen-to,kompaɲamen to,acompanhamento,ɐ.kõ.pɐ.ɲɐ.ˈmẽ.tu,accompaniment,noun,,,,,acompanhamento,,
517,companhimento,kompaɲimento,acompanhamento,ɐ.kõ.pɐ.ɲɐ.ˈmẽ.tu,accompaniment,noun,,,,,acompanhamento,,
518,compinhamento,kompiɲamento,acompanhamento,ɐ.kõ.pɐ.ɲɐ.ˈmẽ.tu,accompaniment,noun,,,,,acompanhamento,,
519,Compinhador,kompiɲadoɾ,acompanhador,,escort,noun,,,,,acompanhador,,
520,Companhério,kompaɲeːɾio,companheiro,,partner,noun,,,Novo testamento,"Companhério {N. T.), com-pinheiro, companheiro. Mais us. cambrado.",companheiro,,145.0
521,compinheiro,kompiɲeiɾo,companheiro,,partner,noun,,,Novo testamento,"Companhério {N. T.), com-pinheiro, companheiro. Mais us. cambrado.",companheiro,,145.0
522,Compania,kompania,companhia militar,,military company,noun,English,,"O Bruffador, ii periódico","Compania [Br. 2), companhia militar. — Despalat. por infl. do ingl. company.",companhia militar,,145.0
523,Competè,kompeteː,"competir, convir, pertencer",,"compete, agree, belong",verb,,,,"Compete, competá (p. us.), competir; convir; pertencer (desus.). Competido, conveniente, justo, próprio. Compe-tidomente, competidamente.","competir, convir, pertencer",pouco usado,145.0
524,competá,kompetaː,"competir, convir, pertencer",,"compete, agree, belong",verb,,,,"Compete, competá (p. us.), competir; convir; pertencer (desus.). Competido, conveniente, justo, próprio. Compe-tidomente, competidamente.","competir, convir, pertencer",pouco usado,145.0
525,Complemento,komplemento,cumprimento,,compliment,noun,English,,"O Bruffador, ii periódico","Complemento {Br. 2), cumprimento.— Infl. do ingl. com-pliment.",cumprimento,,145.0
526,Compridão,kompɾidaːo,comprimento,,length,noun,,,"O Bruffador, i periódico","Compridão (p. us.), com-perdão, compramento {Br. i), comprimento. — De comprido.",comprimento,pouco usado,145.0
527,comperdão,kompeɾdaːo,comprimento,,length,noun,,,"O Bruffador, i periódico","Compridão (p. us.), com-perdão, compramento {Br. i), comprimento. — De comprido.",comprimento,pouco usado,145.0
528,compramento,kompɾamento,comprimento,,length,noun,,,"O Bruffador, i periódico","Compridão (p. us.), com-perdão, compramento {Br. i), comprimento. — De comprido.",comprimento,pouco usado,145.0
529,Comtodo,komtodo,contudo,kõ.ˈtu.du,however,adverb,,,,"Comtodo, comtudo.",comtudo,,145.0
530,Con'cé,konəseː,conhecer,ku.ɲɨ.ˈseɾ,know,verb,,,Elucidário de Viterbo,"Con'cé, conhecer. Elucid.: conecer, cotiocer, cunucer.",conhecer,,145.0
531,Cóncert,koːnseɾt,concerto musical,,music concert,noun,English,,,"Cóncert, concerto musical.— Ingl.",concerto musical,,145.0
532,Concertá,konseɾtaː,"concertar, fabricar, construir, formar",,"fix, manufacture, build, form",verb,Marathi,,,"Concerta, concertar; fabricar, construir, formar.","concertar, fabricar, construir, formar",,145.0
533,Concérta,konseːɾta,"concerto, pacto",,"concert, pact",noun,,,,"Concerta {N. 7!), concerto, pacto.","concerto, pacto",,145.0
534,Concià,konsiaː,"aconselhar,tomar conselho, consultar, deliberar",,"advise, take advice, consult, deliberate",verb,,,,"Concià, conselhar (ant.), tomar conselho, consultar, deliberar.","conselhar,tomar conselho, consultar, deliberar",,145.0
535,Condiná,kondinaː,condenar,kõ.dɨ.ˈnaɾ,condemn,verb,,,,"Condiná, condemnar. Con-dinação, condemnação (t. us.).",condenar,,145.0
536,Condinação,kondinasaːo,condenação,kõ.dɨ.nɐ.ˈsɐ̃w̃,sentence,noun,,,,,condenação,,
537,Confessão,konfesaːo,confesso,kõ.ˈfɛ.su,confess,adjective,,Portuguese-based creoles of Indian mainland,,"Confessão, confesso (mais us.). Confesso: dialectal no cont. Cfr. professão; bén^a, relijio.",confesso,,145.0
538,confesso,konfeso,confesso,kõ.ˈfɛ.su,confess,adjective,,Portuguese-based creoles of Indian mainland,,"Confessão, confesso (mais us.). Confesso: dialectal no cont. Cfr. professão; bén^a, relijio.",confesso,,145.0
539,Confiador,konfiadoɾ,"fiel, cristão",,"faithful, christian",adjective,,,,"Confiador, fiel; christao. Confiadeira, fiel. Cfr. merca-deira.","fiel, cristao",,145.0
540,Confidença,konfidensa,confiança,,confidence,noun,English,,,"Coníidença, confiança (mais us.). — Ingl. confidence.",confiança,,145.0
541,Confina,konfina,confim,,end,adverb,,,,"Confina, confim. Cfr. irmana, capitano.",confim,,145.0
542,Conforma,konfoɾma,conforme,kõ.ˈfɔɾ.mɨ,in accordance,preposition,,,,"Conforma, conforme (mais us.).",conforme,,145.0
543,Confundá,konfundaː,confundir,kõ.fũ.ˈdiɾ,confuse,verb,,,,"Confunda, confundir.",confundir,,145.0
544,Confusado,konfuzado,confuso,,confused,adjective,English,,,"Confusado, confusadoso, confuso. — De confusão ou do ingl. confused.",confuso,,145.0
545,condusadoso,konduzadozo,confuso,,confused,adjective,English,,,"Confusado, confusadoso, confuso. — De confusão ou do ingl. confused.",confuso,,145.0
546,Consciancia,konsiansia,consciência,,conscience,noun,,,,"Consciancia, conscencia, consciência (t. us.).",consciência,,145.0
547,conscencia,konsensia,consciência,,conscience,noun,,,,"Consciancia, conscencia, consciência (t. us.).",consciência,,145.0
548,Consecrá,konsekɾaː,consagrar,,consacrate,verb,English,,,"Consecrá, consagrar. Con-secração, consagração, sa-gração. — Infl. do ingl. to con-sacrate.",consagrar,,145.0
549,Consecração,konsekɾasaːo,consagração,kõ.sɐ.ɡɾɐ.ˈsɐ̃w̃,consecration,noun,,,,,consagração,,
550,Conselà,konselaː,consolar,kõ.su.ˈlaɾ,console,verb,,,,"Conselà, consolar. Con-selação, consalação, consolação. Conseledor, consolador.",consolar,,145.0
551,Conselação,konselasaːo,consolação,kõ.su.lɐ.ˈsɐ̃w̃,consolation,noun,,,,,consolação,,
552,consalação,konsalasaːo,consolação,kõ.su.lɐ.ˈsɐ̃w̃,consolation,noun,,,,,consolação,,
553,Conselador,konseladoɾ,consolador,,consoling,noun,,,,,consolador,,
554,Conselyo,konselʲo,conselho,kõ.ˈse.ʎu,advice,noun,,,"O Bruffador, i periódico","Conseljo, conselho. Conse-Iharo {Br. i), conselhéro, con-",conselho,,145.0
555,Conselharo,konseʎaɾo,conselheiro,,counselor,noun,,,,"seleiro, conselheiro. Cfr. Jiljo, oljo; artilháris.",conselheiro,,146.0
556,conselhéro,konseʎeːɾo,conselheiro,,counselor,noun,,,,"seleiro, conselheiro. Cfr. Jiljo, oljo; artilháris.",conselheiro,,146.0
557,conseleiro,konseleiɾo,conselheiro,,counselor,noun,,,,"seleiro, conselheiro. Cfr. Jiljo, oljo; artilháris.",conselheiro,,146.0
558,Consente,konsente,"consenso, acordo",,agreement,noun,English,,Novo testamento,"Consente {N. 7"".), consenso, accordo. — Ingl. consent.","consenso, acordo",,146.0
559,Consequences,konsekenses,consequências,,consequences,noun,English,,,"Consequences, consequências. — Infl. do ingl. ?",consequências,,146.0
560,Consistá,konsistaː,consistir,kõ.siʃ.ˈtiɾ,consist,verb,,,,"Consista, consistir.",consistir,,146.0
561,Constrangà,konstɾangaː,constranger,kõʃ.tɾɐ̃.ˈʒeɾ,constrain,verb,,,,"Constrangà, (A^. Tl), constranger (desus.).",constranger,,146.0
562,Constructado,konstɾuktado,construido,,constructed,adjective,English,,,"Constructado {Br. 2), con-struido. — Ingl. constructed.",construido,,146.0
563,Consuma,konsuma,"consumpção, tísica",,consumption,noun,,,,"Consuma, consumpção, ti-sica. Cfr. confesso, bén^a.","consumpção, tisica",,146.0
564,Conta-papel,konta papel,papel de conta,,bill,noun,,,,"Conta-papel, papel de conta. Mais us. bill.",papel de conta,,146.0
565,Contendo,kontendo,conteúdo,,contents,noun,English,,,"Contendo, conteúdo. — Do ingl. contents.",conteúdo,,146.0
566,Contentado,kontentado,contente,kõ.ˈtẽ.tɨ,glad,adjective,,,,"Contentado, contente. Cfr. alegrado.",contente,,146.0
567,Conter,konteɾ,contra,ˈkõ.tɾɐ,against,preposition,,,,"Conter (fórm. mod.), contra.",contra,forma moderna,146.0
568,Contino,kontino,contínuo,,continuous,adjective,English,,,"Contino, continuai, continuo. Continualmente, continuamente. — Contino: port. arch. e dial. Continuai: ingl.",continuo,,146.0
569,continual,kontinual,contínuo,,continual,adjective,English,,,"Contino, continuai, continuo. Continualmente, continuamente. — Contino: port. arch. e dial. Continuai: ingl.",continuo,,146.0
570,Continualmente,kontinualmente,continuamente,,continuously,adverb,,,,,continuamente,,
571,Contradizão,kontɾadizaːo,contradição,,contradiction,noun,,,,"Contradizão, contradiza, contradicção. — De contradisse.",contradicção,,146.0
572,contradiza,kontɾadiza,contradição,,contradiction,noun,,,,"Contradizão, contradiza, contradicção. — De contradisse.",contradicção,,146.0
573,Contrairo,kontɾaiɾo,contrário,kõ.ˈtɾa.ɾju,contrary,noun,,Old Portuguese,,"Contrairo, contrario. — Port. arch.",contrario,,146.0
574,Contriá,kontɾiaː,"contrariar, contradizer",,contradict,verb,,,,"Contriá, contrariar, contradizer. Contriação, contradicção; discussão, debate.","contrariar, contradizer",,146.0
575,Contriação,kontɾiasaːo,"contradição, discussão, debate",,"contradiction, discussion, debate",noun,,,,,"contradicção, discussão, debate",,
576,Conversão,konʋeɾsaːo,conversação,kõ.vɨɾ.sɐ.ˈsɐ̃w̃,conversation,noun,,,,"Conversão, conversação.— De conversa -\- ão. Cfr. decla-rão.",conversação,,146.0
577,Convertà,konʋeɾtaː,converter,,convert,verb,,,,"Converta, converter. Con-vertação, convertesan (C. A.), conversão. Cfr. perverta.",converter,,146.0
578,Convertação,konʋeɾtasaːo,conversão,kõ.vɨɾ.ˈsɐ̃w̃,conversion,noun,,,,,conversão,,
579,Convidação,konʋidasaːo,convite,kõ.ˈvi.tɨ,invitation,noun,,,,"Convidação, convite. V. co-MíD.Í. Cfr. cuidação.",convite,,146.0
580,Convinçà,konʋinsaː,convencer,kõ.vẽ.ˈseɾ,convince,verb,,,,"Convinçà, convencer.",convencer,,146.0
581,Copa,kopa,"copo, xícara, chávena",,cup,noun,,,,"Copa, cope (p. us.), copo; chicara, chávena.  Copa-tea,","copo; chicara, chávena",pouco usado,146.0
582,cope,kope,"copo, xícara, chávena",,cup,noun,,,,"Copa, cope (p. us.), copo; chicara, chávena.  Copa-tea,","copo; chicara, chávena",pouco usado,146.0
583,Copa-ti,kopa ti,chávena de chá,,tea cup,noun,English,,,"chávena de chá. — Infl. do ingl. na signif. Cope, copi: dial. no cont.",chávena de chá,,146.0
584,Copra,kopɾa,miolo do coco seco,,dry coconut kernels,noun,,,,"Copra, miolo do coco secco. Comm.—Prakdo sansk. IpqT",miolo do coco secco,,146.0
585,Copy,kopi,"cópia, exemplar",,copy,noun,English,,,"Copy, copia, exemplar. — Ingl.","copia, exemplar",,146.0
586,Coragè,koɾad̠ʒeː,coragem,ku.ˈɾa.ʒɐ̃j̃,courage,noun,,,,"Coragè, corajo (mais us.), courajo, coragem. Corage-mente, corajosamente. Cfr. imajo, viajo; boventademente.",coragem,,146.0
587,corajo,koɾad̠ʒo,coragem,ku.ˈɾa.ʒɐ̃j̃,courage,noun,,,,"Coragè, corajo (mais us.), courajo, coragem. Corage-mente, corajosamente. Cfr. imajo, viajo; boventademente.",coragem,,146.0
588,courajo,kouɾad̠ʒo,coragem,ku.ˈɾa.ʒɐ̃j̃,courage,noun,,,,"Coragè, corajo (mais us.), courajo, coragem. Corage-mente, corajosamente. Cfr. imajo, viajo; boventademente.",coragem,,146.0
589,Coragemente,koɾad̠ʒemente,corajosamente,,boldly,adverb,,,,,corajosamente,,
590,Cordà,koɾdaː,acordar,ɐ.kuɾ.ˈdaɾ,agree,verb,Macao creole,,,"Corda, cordiá (C, de N.), accordar. Dial. mac.",accordar,,146.0
591,cordià,koɾdiaː,acordar,ɐ.kuɾ.ˈdaɾ,agree,verb,Macao creole,,,"Corda, cordiá (C, de N.), accordar. Dial. mac.",accordar,,146.0
592,Cordè,koɾdeː,corda,ˈkɔɾ.dɐ,rope,noun,,,,"Cordè, corda (t. us.).",corda,,146.0
593,Cores,koɾes,correias,,straps,noun,,,,"Cores, correias.",correias,,146.0
594,Coresmo,koɾezmo,quaresma,,lent,noun,,,,"Coresmo, quaresma.",quaresma,,146.0
595,Corovà,koɾoʋaː,coroar,ku.ˈɾwaɾ,crown,verb,,,,"Corovà, coroar. Corovè, coroa. Cfr. perdová.",coroar,,146.0
596,Corovè,koɾoʋeː,coroa,ku.ˈɾo.ɐ,crown,noun,,,,,coroa,,
597,Correctà,korektaː,corrigir,,correct,verb,English,,,"Correcta, corrigá (C. A.)^ corrigir. — Ingl. to correct.",corrigir,,146.0
598,corrigá,korigaː,corrigir,,correct,verb,English,,,"Correcta, corrigá (C. A.)^ corrigir. — Ingl. to correct.",corrigir,,146.0
599,Correição,koreisaːo,correção,ku.Rɛ.ˈsɐ̃w̃,correction,noun,,Old Portuguese,,"Correição, correcção. — Port. arch.",correcção,,146.0
600,Correntè,korenteː,quarenta,kwɐ.ˈɾẽ.tɐ,forty,numeral,,,,"Corrente, currento, quarenta.",quarenta,,146.0
601,currento,kurento,quarenta,kwɐ.ˈɾẽ.tɐ,forty,numeral,,,,"Corrente, currento, quarenta.",quarenta,,146.0
602,Corruptido,koruptido,corrupto,ku.ˈRup.tu,corrupt,noun,,,,"Corruptido, corrupto. Cfr. confusado.",corrupto,,146.0
603,Côrto,koːɾto,curto,ˈkuɾ.tu,short,adjective,,,,"Corto, curto. Cfr. sôrdo: Dial. beirões, v.",curto,,146.0
604,Cósse,koːse,coice,ˈkoj.sɨ,kickback,noun,,,,"Cósse, couce. Cossià, cou-cear; recalcitrar.",couce,,146.0
605,Cossià,kosiaː,"coicear, recalcitrar",,"kickback, recalcitrate",verb,,,,,coucear, recalcitrar,
606,Cossér,koseːɾ,coceira,ku.ˈsɐj.ɾɐ,itchy,noun,,,,"Cossér, coceira.",coceira,,146.0
607,Costa,kosta,custar,,custar,verb,,,,"Costa, custar.",custar,,146.0
608,Couraço,kouɾaso,couraça,kow.ˈɾa.sɐ,breastplate,noun,,,,"Couraço, couraça.",couraça,,146.0
609,Kôrt,koːɾt,"corte, tribunal",,court,noun,English,All Portuguese-based creoles of India,,"Court (pron. côrt)^ corte, tribunal. Comm. — Court: ingl.","corte, tribunal",,147.0
610,Cóusus,koːuzus,coisas,,things,noun,Macao creole,,,"Cóusus (p. us.), cousès (p. us.), cousas. Dial. mac. cosu.",coisas,pouco usado,147.0
